"WEEK","DATE","STATE","SITE","RRV","TRAP","APIS","ANOE","ACRA","AHEL","APHI","AADJ","CELA","CHIP","CHAE","CHAI","CPOP","ERIO","FORD","HATR","HPRU","HPAL","IZYP","LPSE","MEUP","MTIL","MPER","PEMP","PHUM","PLEO","RSTA","RMAI","RPAD","SGRA","SELE","SAVE","TRIE","TTRI","TULM","UROL","UNID","TOTAL","APUL","DKAN","THRI","MPUN","TYPE","SUBS","ASPI","RRUF","ANAS","GULM","MDIS","TETR","CAEG","MVEN","PPCA","PPRA","PPTR","PSMI","AFAB","AGLY","AGOS","APRU","DACT","HSPI","HLAC","HYPE","MACS","RPOR","RNYM","AMAI","AMAC"
10,1998-09-03,"MN","WILL","Y","1",0,NA,0,0,NA,NA,1,0,NA,NA,0,NA,NA,0,0,0,NA,0,1,NA,1,0,NA,NA,NA,0,1,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1998-09-03,"MN","WILL","Y","2",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,2,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1998-09-03,"MN","WILL","Y","3",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,1,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1998-09-03,"MN","WILL","Y","4",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,1,0,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1998-09-03,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,1,0,NA,NA,NA,17,1,0,0,0,0,0,NA,0,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1998-09-10,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,1,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,0,2,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1998-09-10,"MN","WILL","Y","2",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1998-09-10,"MN","WILL","Y","1",0,NA,0,0,NA,NA,2,4,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,11,4,0,0,2,0,0,NA,0,28,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1998-09-16,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,1,0,NA,NA,NA,3,0,0,0,0,0,0,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1998-09-16,"MN","WILL","Y","2",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1,1,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1998-09-16,"MN","WILL","Y","1",0,NA,0,1,NA,NA,0,2,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,5,4,0,0,0,0,0,NA,0,8,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1998-09-23,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,3,1,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1998-09-23,"MN","WILL","Y","2",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1,5,0,0,0,0,0,NA,0,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1998-09-23,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,2,4,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1998-09-28,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,1,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1998-09-28,"MN","WILL","Y","2",0,NA,0,0,NA,NA,0,1,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,4,3,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1998-09-28,"MN","WILL","Y","1",0,NA,0,0,NA,NA,0,8,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,9,0,0,0,0,0,0,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1998-08-03,"MN","BAKE","Y","4",0,NA,0,12,NA,NA,1,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,31,0,0,0,0,0,1,NA,0,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-10,"MN","BAKE","Y","1",0,NA,0,43,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,2,0,0,0,0,0,0,NA,0,4,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-10,"MN","BAKE","Y","2",0,NA,0,38,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,14,0,0,0,0,0,1,NA,0,2,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1998-08-10,"MN","BAKE","Y","1",0,NA,0,40,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA,NA,2,0,0,0,0,0,0,NA,0,8,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-17,"MN","BAKE","Y","1",0,NA,0,31,NA,NA,1,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,2,0,0,0,0,0,0,NA,0,15,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-17,"MN","BAKE","Y","2",0,NA,0,23,NA,NA,3,0,NA,NA,0,NA,NA,0,0,0,NA,2,0,NA,1,0,NA,NA,NA,0,0,0,0,0,0,1,NA,0,20,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1998-08-17,"MN","BAKE","Y","1",0,NA,0,22,NA,NA,1,0,NA,NA,0,NA,NA,0,0,0,NA,1,0,NA,0,0,NA,NA,NA,6,3,0,0,0,0,2,NA,0,15,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1998-08-24,"MN","BAKE","Y","1",0,NA,0,22,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,NA,0,1,NA,1,0,NA,NA,NA,3,4,0,0,0,0,1,NA,0,18,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
